name	area_name	address
Övralidsgatan 2 förskola	Hisingen område 2	
Övralidsgatan 2 förskola.pdf	Hisingen område 2	
Övralidsgatan 2.pdf	Hisingen område 2	
Övre Hallegatan 1B förskola.pdf	Hisingen område 3	
Övre Hallegatan 1B.pdf	Hisingen område 3	
Påfågeln	Östra Göteborg område 1	
Paletten	Centrum område 2	
Pandan	Östra Göteborg område 2	
Pannkakan	Östra Göteborg område 2	
Pärlan.pdf	Fristående förskolor	
Pärlugglan	Västra Göteborg område 1	
Paviljongvägen 82 förskola	Centrum område 1	
Paviljongvägen 82 förskola.pdf	Centrum område 1	
Pedagogisk omsorg	Övergripande rapport pedagogisk omsorg i Göteborg	
Pedagogisk omsorg, Angered	Angered	
Pedagogisk omsorg, Askim-Frölunda-Högsbo	Askim-Frölunda-Högsbo	
Pedagogisk omsorg,  Centrum	Västra Hisingen	
Pedagogisk omsorg, Centrum	Centrum	
Pedagogisk omsorg,  Jättesten	Västra Hisingen	
Pedagogisk omsorg, Lundby	Lundby	
Pedagogisk omsorg, Majorna-Linné	Majorna-Linné	
Pedagogisk omsorg,Norra Hisingen	Norra Hisingen	
Pedagogisk omsorg, Örgryte Härlanda	Örgryte-Härlanda	
Pedagogisk omsorg,Östra Göteborg	Östra Göteborg	
Pedagogisk omsorg,  Södergruppen Biskopsgården	Västra Hisingen	
Pedagogisk omsorg,  Södergruppen Torslanda	Västra Hisingen	
Pedagogisk omsorg,  Sunnerviksgruppen	Västra Hisingen	
- Pedagogisk omsorg (total) -	Pedagogisk omsorg	
Pedagogisk omsorg, Västra Göteborg	Västra Göteborg	
Peppargatan 7 förskola.pdf	Nordost område 1	
Peppargatan 7.pdf	Nordost område 1	
Persilja	Centrum område 1	
Personalkooperativet Cassiopeja	Fristående förskolor	
Pilegården 9H förskola	Sydväst område 1	
Pilfinken	Östra Göteborg område 1	
Pingvinen	Östra Göteborg område 1	
Pioneers	Fristående förskolor	
Plantan	Centrum område 1	
